   id Count        Max        Min    Average  Variation
    0  9152  14.000000  13.000000  13.002076   0.002072
    1  9152   3.000000   2.000000   2.001967   0.001963
    2  9152   5.000000   4.000000   4.002950   0.002941
    3  9151   4.000000   3.000000   3.002950   0.002942
    4  4576   4.000000   3.000000   3.001748   0.001745
    5  4576   7.000000   6.000000   6.002404   0.002398
    6  4576   8.000000   7.000000   7.001530   0.001527
    7  9152  10.000000   7.000000   7.002185   0.002836
    8  9151   6.000000   5.000000   5.002186   0.002181
    9  4576   5.000000   3.000000   3.003934   0.004355
   10  4575   5.000000   4.000000   4.002186   0.002181
   11  4575   7.000000   6.000000   6.002404   0.002399
   12  4576   3.000000   2.000000   2.001093   0.001091
   13   915   3.000000   2.000000   2.004372   0.004352
   14   914   5.000000   4.000000   4.002188   0.002183
   15   915   4.000000   3.000000   3.002186   0.002181
   16   914   6.000000   5.000000   5.002188   0.002183
   17   914   5.000000   4.000000   4.001094   0.001093
   18   915   4.000000   3.000000   3.003279   0.003268
   19   915   7.000000   6.000000   6.002186   0.002181
   20  2288   7.000000   6.000000   6.001748   0.001745
   21 104769   2.000000   1.000000   1.003054   0.003045
